timestamp,x,y,z,yaw
0.0,0.6,0.0,0,0.0
1666.6666666666667,0.08090169943749476,0.058778525229247314,0.0,0.0
3333.3333333333335,0.18541019662496847,0.570633909777092,0,0.0
5000.0,-0.030901699437494736,0.09510565162951537,0.0,0.0
6666.666666666667,-0.48541019662496837,0.35267115137548394,0,0.0
8333.333333333334,-0.1,1.2246467991473533e-17,0.0,0.0
10000.0,-0.48541019662496854,-0.3526711513754838,0,0.0
11666.666666666668,-0.030901699437494757,-0.09510565162951536,0.0,0.0
13333.333333333334,0.18541019662496833,-0.5706339097770922,0,0.0
15000.0,0.08090169943749474,-0.05877852522924734,0.0,0.0
